,accuracy,precision,recall,f1_score,roc_auc
RF (no SMOTE),0.8107487367937529,0.5279503105590062,0.2019002375296912,0.2920962199312715,0.7364712231967493
RF (SMOTE),0.7652733118971061,0.4042553191489361,0.4513064133016627,0.4264870931537598,0.7350400932804527
NB (no SMOTE),0.7900780891134589,0.4411764705882353,0.3206650831353919,0.3713892709766162,0.6799584999377769
NB (SMOTE),0.7735415709692237,0.4037433155080214,0.3586698337292161,0.379874213836478,0.6792287318944481
CNN-LSTM (BCE),0.6646761598530088,0.3056603773584905,0.5771971496437055,0.3996710526315789,0.6807761918417479
CNN-LSTM (Focal),0.5581074873679376,0.27017841971113,0.7553444180522565,0.3979974968710889,0.7000720975657264
DistilBERT (Bug Reports),1.0,1.0,1.0,1.0,1.0
