model,accuracy,precision,recall,f1_score,roc_auc
RF (no SMOTE),0.8107487367937529,0.5279503105590062,0.20190023752969122,0.2920962199312715,0.7364712231967493
RF (SMOTE),0.7652733118971061,0.40425531914893614,0.4513064133016627,0.4264870931537598,0.7350400932804527
NB (no SMOTE),0.7900780891134589,0.4411764705882353,0.32066508313539194,0.3713892709766162,0.6799584999377769
NB (SMOTE),0.7735415709692237,0.4037433155080214,0.3586698337292161,0.379874213836478,0.6792287318944481
